Timestamp,"1. On a scale of 1 to 5, how would you rate your current knowledge of Python programming?","2. On a scale of 1 to 5, how would you rate your current knowledge of data science concepts? ",3. Have you ever used version control systems such as Git and GitHub?,4. Are you familiar with Jupyter Notebooks or JupyterHub?,"5. On a scale of 1 to 5, how would you rate your understanding of reproducible research principles?",6. Have you ever conducted text analysis or natural language processing (NLP) projects?,7. Have you ever worked with social media data or network analysis? ,8. What are your primary learning goals for this course?,9. What specific skills or techniques do you hope to gain from this course? ,10. Do you have any concerns or challenges that you anticipate facing in this course?
4/1/2023 17:50:33,1,1,No,No,1,No,No,Python and the data science methods described seem like very marketable skills. My main goal is always to develop enough familiarity and comfort with the basics that with a quick google search I can also navigate most more complex issues. ,I currently have zero coding knowledge but I would like to change that. ,All I have is my laptop. I am worried about overloading it (I don’t know how much the programs we will use require)
4/1/2023 18:11:14,1,2,No,No,5,No,Yes,To learn more about data science processes.,Coding experience,no
4/1/2023 18:50:40,1,1,No,No,4,No,No,"I’d like to gain more experience in python and take a deep dive into other quantitative analysis skills because I feel like as a Comm student, it’s an extremely important bonus or even a must if I can master quant skills.",SQL， R，Python.,"Since I’ve never taken a CS course except a little R programming from psy10B, I’m a little worried abt understanding the course material in such a fast quarter system"
4/1/2023 18:53:09,1,1,No,No,1,No,No,My primary learning goals are to be skillful in use of Python programming and get the knowledge of data science programming for my future job.,I want to learn Python programming and data science programming.,"I'm graduating this quarter and I really want to take this class but I am waitlisted in 5th. I'm worried that I won't be able to take this class. Computer programming is a significant role in my future career and I want to develop my programming skills through this class. Also, I'm worried because I don't have basic knowledge, but I want to take this class well with this worry as the driving force."
4/1/2023 19:25:36,2,2,No,No,1,No,No,Learning how we can use data science in communication,Technical skills I can use in the professional world,Using programming languages
4/1/2023 19:43:48,1,3,No,No,1,No,Yes,Learning basic English skills,Not sure yet since I don’t have a good understanding of the concepts,Yes but I don’t know what may come up
4/1/2023 20:03:11,1,1,No,No,1,No,Yes,I want to understand data science principles better to assist me in my future marketing and communication roles.,"Learning to code would be incredible, since I have no prior experience. ","Since I have very limited knowledge of programming and coding coming into this experience, I am a bit worried that I will fall behind or do poorly. However, I'm looking forward to learning new things and am excited for something entirely outside of my comfort zone!"
4/1/2023 20:42:55,1,2,No,No,1,Yes,Yes,"As a senior, I will go to a Marketing Master program soom. And I figured out that the program will involve lots of quantitative analysis and coding works, which I am not really confident at. So, I wish to enhance my problem solving ability in my last quarter at UCSB.",I hope I can master some basic skills of coding with Python by the end of the class.,"I have little experience in coding, so I'm quite afraid in working coding exercises."
4/1/2023 20:58:16,1,1,No,No,2,No,No,Understanding what data science for social studies looks like and how it is done!,I hope to get a basic grasp of coding and good understanding of how to analyze data,"I have little to no experience with coding and data analysis, so my lack of understanding is definitely one of the main reasons I'm nervous entering this course. This is also my first COMM upperdiv, so I have little expectation of what it will be like. However, I'm excited to learn how to code and work through a project format! "
4/1/2023 21:13:10,1,2,No,No,1,No,No,Learning the basics to apply to real world problems ,I hope to be able to conduct coding my own data independently ,I don’t have much experience with coding 
